Kode,Nama Saham
ADHI,Adhi Karya (Persero) Tbk.
ADRO,Adaro Energy Tbk.
AKRA,AKR Corporindo Tbk.
ANTM,Aneka Tambang Tbk.
ASII,Astra International Tbk.
BBCA,Bank Central Asia Tbk.
BBNI,Bank Negara Indonesia (Persero) Tbk.
BBRI,Bank Rakyat Indonesia (Persero) Tbk.
BBTN,Bank Tabungan Negara (Persero) Tbk.
BMRI,Bank Mandiri (Persero) Tbk.
BRPT,Barito Pacific Tbk.
BSDE,Bumi Serpong Damai Tbk.
CPIN,Charoen Pokphand Indonesia Tbk.
ELSA,Elnusa Tbk.
ERAA,Erajaya Swasembada Tbk.
EXCL,XL Axiata Tbk.
GGRM,Gudang Garam Tbk.
HMSP,H.M. Sampoerna Tbk.
ICBP,Indofood CBP Sukses Makmur Tbk.
INCO,Vale Indonesia Tbk.
INDF,Indofood Sukses Makmur Tbk.
INDY,Indika Energy Tbk.
INKP,Indah Kiat Pulp & Paper Tbk.
INTP,Indocement Tunggal Prakarsa Tbk.
ITMG,Indo Tambangraya Megah Tbk.
JSMR,Jasa Marga (Persero) Tbk.
KLBF,Kalbe Farma Tbk.
LPPF,Matahari Department Store Tbk.
MEDC,Medco Energi Internasional Tbk.
MNCN,Media Nusantara Citra Tbk.
PGAS,Perusahaan Gas Negara (Persero) Tbk.
PTBA,Bukit Asam Tbk.
PTPP,PP (Persero) Tbk.
PWON,Pakuwon Jati Tbk.
SCMA,Surya Citra Media Tbk.
SMGR,Semen Indonesia (Persero) Tbk.
SRIL,Sri Rejeki Isman Tbk.
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM,Telekomunikasi Indonesia (Persero) Tbk.
TPIA,Chandra Asri Petrochemical Tbk.
UNTR,United Tractors Tbk.
UNVR,Unilever Indonesia Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WSBP,Waskita Beton Precast Tbk.
WSKT,Waskita Karya (Persero) Tbk.
